"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.0162523646048,0.385,0.188,0,"0","NAP1L1"
0,1.00369911212637,0.427,0.231,0,"0","EIF4B"
0,1.60605429615528,0.297,0.104,0,"0","GAS5"
0,0.94012431745232,0.443,0.251,0,"0","SRSF5"
0,1.46983456007031,0.309,0.118,0,"0","GOLGA8A"
0,0.744791819034743,0.563,0.372,0,"0","RPL15"
0,1.1957453025559,0.352,0.162,0,"0","NPM1"
0,0.985952064020541,0.402,0.214,0,"0","ATM"
0,1.32080489256715,0.328,0.14,0,"0","FOXP1"
0,0.467375470058482,0.827,0.642,0,"0","TXNIP"
0,1.0743221686958,0.36,0.178,0,"0","RBL2"
0,1.14887363283399,0.343,0.163,0,"0","TRAF3IP3"
0,1.07533471705538,0.349,0.17,0,"0","EVL"
0,1.09214415749772,0.351,0.173,0,"0","RPL39"
0,0.68168572975946,0.547,0.371,0,"0","FAU"
0,0.759987902948611,0.468,0.292,0,"0","HSP90AB1"
0,0.711567723736347,0.524,0.349,0,"0","UBA52"
0,1.52711990726514,0.27,0.1,0,"0","PBXIP1"
0,0.768209289122755,0.462,0.293,0,"0","NACA"
0,1.31491425934829,0.289,0.121,0,"0","RPL36"
0,0.554920587300691,0.658,0.492,0,"0","DDX5"
0,0.839182828124772,0.392,0.227,0,"0","ADD3"
0,0.710136049974168,0.474,0.309,0,"0","SF3B1"
0,1.0169062781861,0.339,0.175,0,"0","SPTBN1"
0,1.40838554891602,0.27,0.106,0,"0","GOLGA8B"
0,1.57595758406375,0.254,0.09,0,"0","PAG1"
0,0.671145112554162,0.417,0.254,0,"0","SELL"
0,0.883276920230431,0.361,0.198,0,"0","SLC38A1"
0,1.36816275499796,0.27,0.109,0,"0","GIMAP7"
0,0.725333605842131,0.45,0.292,0,"0","DDX17"
0,1.40148408006344,0.252,0.095,0,"0","CD3E"
0,0.935419424495948,0.35,0.195,0,"0","PNISR"
0,0.800540992317257,0.404,0.25,0,"0","FAM65B"
0,1.17976939415707,0.283,0.13,0,"0","TMC8"
0,1.21374239573647,0.268,0.116,0,"0","LCK"
0,0.897145149840203,0.363,0.211,0,"0","STK17B"
0,0.674929457307479,0.433,0.283,0,"0","MBNL1"
0,1.2665911182315,0.258,0.112,0,"0","RPL21"
0,1.01709542293915,0.295,0.149,0,"0","RPL23A"
0,0.858936627329262,0.345,0.199,0,"0","RPS7"
0,1.12235948713535,0.283,0.137,0,"0","TTC3"
0,0.994016545847044,0.303,0.158,0,"0","EEF1D"
0,0.914049035151474,0.324,0.18,0,"0","ANKRD12"
0,1.02985563752672,0.292,0.149,0,"0","ZC3HAV1"
0,1.14895122407643,0.265,0.123,0,"0","RPL30"
0,1.00126903918619,0.291,0.149,0,"0","EPB41"
0,0.94686266719465,0.305,0.163,0,"0","RPL28"
0,0.767347667492681,0.366,0.225,0,"0","HNRNPA1"
0,1.23421559834397,0.256,0.116,0,"0","RPS4Y1"
0,0.842661301459039,0.339,0.2,0,"0","ILF3"
0,0.687752852273791,0.375,0.236,0,"0","HSPA8"
0,0.866542245699997,0.317,0.179,0,"0","EIF4A2"
0,0.704069682661168,0.368,0.23,0,"0","KIAA1551"
0,1.18473620370918,0.254,0.117,0,"0","SNHG5"
0,1.03851826104262,0.271,0.135,0,"0","RPS15A"
0,1.03385541451094,0.268,0.134,0,"0","SEPT6"
0,0.957934201321103,0.287,0.154,0,"0","NKTR"
0,0.810232352673661,0.315,0.185,0,"0","KMT2A"
0,0.817824736971565,0.305,0.18,0,"0","BTF3"
0,0.990340932160315,0.252,0.133,0,"0","LUC7L3"
0,0.916610552736057,0.256,0.139,0,"0","SPTAN1"
0,0.37443436613695,0.864,0.763,0,"0","MT-ND4"
0,0.677960469490456,0.993,0.957,0,"0","MALAT1"
3.52278686797726e-319,0.476724679979297,0.706,0.582,8.97465182485886e-315,"0","MT-CYB"
1.47779639362936e-316,0.765300421741188,0.324,0.196,3.76483409241016e-312,"0","SRSF11"
4.87557885662312e-312,0.780091493364492,0.316,0.191,1.24210246951331e-307,"0","CHD2"
2.23854005352014e-304,0.865585974865249,0.266,0.152,5.70290464034791e-300,"0","EIF3H"
3.48299635308529e-303,0.726914424425491,0.338,0.21,8.87328150912008e-299,"0","HNRNPH1"
7.09514528820607e-289,0.83975146404166,0.265,0.153,1.80755921362338e-284,"0","TNRC6B"
1.01185600885777e-284,0.779734764252096,0.268,0.155,2.57780436816604e-280,"0","PIK3R1"
6.72075651710912e-283,0.845913652180201,0.252,0.143,1.71217993029872e-278,"0","HMHA1"
3.59731470103729e-275,0.792017367073211,0.261,0.151,9.16451893236261e-271,"0","RPL26"
5.05155157920277e-268,0.671773355879157,0.32,0.201,1.2869332803177e-263,"0","SORL1"
7.56051344736978e-263,0.585580309303543,0.44,0.312,1.92611640585193e-258,"0","PRRC2C"
9.76244678198037e-261,0.801488746281166,0.251,0.146,2.48708094217732e-256,"0","KAT6A"
1.04350363240961e-259,0.604113960412634,0.401,0.275,2.65842985392673e-255,"0","RPS24"
8.62308938537537e-252,0.660534483317813,0.336,0.219,2.19681825181823e-247,"0","HNRNPDL"
5.28954328924496e-245,0.699674418246871,0.283,0.174,1.34756404836805e-240,"0","CDC42SE2"
2.20164188653136e-243,0.75701333593512,0.255,0.152,5.6089028701273e-239,"0","CIRBP"
3.6695213778575e-235,0.740469923878073,0.27,0.167,9.34847266222978e-231,"0","TPR"
9.65360858063e-228,0.316218619436421,0.819,0.725,2.4593533220013e-223,"0","MT-ATP6"
4.33658314368671e-223,0.618186636074577,0.333,0.223,1.10478792168563e-218,"0","MYCBP2"
1.51207518274588e-221,0.569911319712887,0.391,0.276,3.8521627355634e-217,"0","CSDE1"
1.80064087147628e-219,0.636814145649592,0.304,0.197,4.58731268417298e-215,"0","CYTH1"
1.47302937054563e-218,0.730930576581033,0.25,0.153,3.75268962440204e-214,"0","ARGLU1"
1.54245405832768e-216,0.607560701705676,0.332,0.222,3.9295559589956e-212,"0","IKZF1"
1.81850449911282e-204,0.680017430186027,0.267,0.17,4.63282206193982e-200,"0","HP1BP3"
8.79407810693213e-198,0.541696160735931,0.368,0.259,2.24037933852203e-193,"0","PFDN5"
8.89975173522016e-187,0.375902742170554,0.656,0.551,2.26730075206469e-182,"0","MT-ND2"
3.12986607187041e-177,0.542882959156234,0.293,0.196,7.97364680469706e-173,"0","CYFIP2"
3.90911066479368e-175,0.607672675258115,0.271,0.179,9.95885032962839e-171,"0","PNRC1"
1.37107142790222e-170,0.529747714593457,0.36,0.261,3.4929415697237e-166,"0","MT-ND3"
2.23457257463865e-167,0.449724933125734,0.405,0.3,5.69279709114942e-163,"0","NCL"
1.32413897358258e-161,0.493252721098177,0.339,0.242,3.37337644909899e-157,"0","SMCHD1"
2.25170375560637e-155,0.493776599290448,0.342,0.247,5.7364404877828e-151,"0","STK4"
6.53042382980987e-151,0.535514524452497,0.288,0.2,1.66369077488236e-146,"0","MATR3"
9.0926356310047e-151,0.587949160388388,0.26,0.176,2.31643985335476e-146,"0","FUS"
1.41471746261137e-150,0.398734103855725,0.456,0.354,3.60413420774872e-146,"0","PTMA"
3.1814550658722e-150,0.50675764368673,0.337,0.245,8.10507492581602e-146,"0","CCNI"
5.6399353193711e-139,0.563392505397249,0.251,0.171,1.43682992196298e-134,"0","GLG1"
1.55532256036222e-123,0.401157618731445,0.376,0.287,3.96233975477878e-119,"0","SON"
9.13561831404335e-123,0.277740909063413,0.696,0.615,2.32739012168568e-118,"0","MT-ND1"
6.47449948661931e-121,0.468934297973112,0.281,0.202,1.64944348921114e-116,"0","KMT2E"
1.2756933511912e-120,0.483509131819704,0.262,0.184,3.2499563814947e-116,"0","SMG1"
9.74546284029564e-120,0.434994522700264,0.36,0.277,2.48275411319372e-115,"0","COX4I1"
3.93160837899923e-118,0.500201358512676,0.282,0.205,1.00161655063384e-113,"0","CCNL1"
1.14040349539065e-107,0.436348464807076,0.251,0.179,2.90529194485721e-103,"0","LINC00657"
2.38733759735997e-107,0.37004976863612,0.385,0.302,6.08198126303425e-103,"0","HNRNPU"
2.11302001984858e-106,0.405889717453677,0.296,0.219,5.38312980256624e-102,"0","CD44"
6.21552730263853e-105,0.436089858346025,0.297,0.221,1.58346773562019e-100,"0","FNBP1"
2.11271345482703e-99,0.450971254509863,0.252,0.182,5.38234879751734e-95,"0","ATRX"
1.21706151877255e-97,0.430322390480971,0.277,0.206,3.10058592522495e-93,"0","SLC25A6"
1.8053932836596e-97,0.300796961418329,0.466,0.384,4.59941992945119e-93,"0","HSP90AA1"
2.50421270961914e-90,0.341969156559483,0.31,0.237,6.37973229902571e-86,"0","ITM2B"
5.01954667437992e-87,0.366316814219801,0.287,0.217,1.27877971076503e-82,"0","CD52"
2.16555522546394e-84,0.441480128741536,0.257,0.193,5.51696849239194e-80,"0","CHD4"
3.9638103613113e-83,0.395098650762555,0.258,0.193,1.00982032764767e-78,"0","RASSF5"
1.16928258056841e-82,0.259162526242819,0.478,0.399,2.97886430225608e-78,"0","MT-ND6"
1.66738358591894e-76,0.383783620987207,0.26,0.198,4.24782642348708e-72,"0","BPTF"
5.78579037731633e-75,0.289895769999982,0.31,0.24,1.47398795652511e-70,"0","PTPRCAP"
9.94782188538823e-65,0.267761189810434,0.392,0.326,2.53430710352151e-60,"0","SRRM2"
5.76342766958327e-64,0.312115428208698,0.289,0.229,1.46829083310303e-59,"0","CNBP"
1.07449134989501e-45,0.268978958855031,0.286,0.235,2.73737416299252e-41,"0","ZFP36L2"
0,2.27048628588486,0.701,0.167,0,"1","CCL5"
0,1.53595276412726,0.736,0.322,0,"1","SYNE2"
0,1.63462136740964,0.64,0.235,0,"1","SYNE1"
0,2.303586941953,0.461,0.104,0,"1","GZMH"
0,2.70338318192551,0.414,0.084,0,"1","CD8A"
0,0.873688035331241,0.503,0.192,0,"1","GNLY"
0,0.964688323087445,0.458,0.172,0,"1","PRF1"
0,1.21244122526634,0.518,0.233,0,"1","ARL4C"
0,0.923485478633682,0.858,0.586,0,"1","AHNAK"
0,1.66529631465469,0.386,0.115,0,"1","GZMA"
0,1.02887245053506,0.635,0.372,0,"1","MACF1"
0,1.2356067443147,0.448,0.21,0,"1","ITGAL"
0,1.37439932253042,0.357,0.139,0,"1","RUNX3"
0,1.43390118593503,0.323,0.109,0,"1","FGFBP2"
0,0.856082746175073,0.547,0.336,0,"1","FLNA"
0,0.759195177381623,0.683,0.473,0,"1","RNF213"
0,0.803661328515654,0.612,0.405,0,"1","CALM1"
0,0.878305132158551,0.477,0.275,0,"1","TRBC2"
0,1.57859739157735,0.291,0.095,0,"1","NKG7"
0,1.30994188028772,0.345,0.149,0,"1","CD3D"
0,1.5765630997726,0.292,0.102,0,"1","IL32"
0,1.09585009177777,0.367,0.182,0,"1","SPN"
0,0.684602631918635,0.796,0.613,0,"1","PTPRC"
0,0.847613228890589,0.417,0.238,0,"1","PLEK"
0,0.793094351928286,0.43,0.253,0,"1","SLFN5"
0,0.896578077904231,0.404,0.229,0,"1","PTPRCAP"
0,1.46258206007231,0.282,0.108,0,"1","CD3G"
0,1.14314653138541,0.332,0.16,0,"1","PPP2R5C"
0,0.766405756366821,0.311,0.14,0,"1","GZMB"
0,1.5132770330907,0.264,0.099,0,"1","CD2"
0,0.445796244850547,0.816,0.657,0,"1","TXNIP"
0,0.95827668140055,0.324,0.17,0,"1","PIP4K2A"
0,1.2439890849689,0.273,0.12,0,"1","ATP2B4"
0,0.933705317046572,0.335,0.186,0,"1","BTN3A2"
0,0.612774940387519,0.795,0.646,0,"1","HLA-C"
0,0.993281053680006,0.303,0.157,0,"1","FYN"
0,1.17026133566654,0.262,0.118,0,"1","GBP5"
0,1.16969745979005,0.258,0.119,0,"1","RP11-94L15.2"
0,0.522239834466019,0.855,0.721,0,"1","HLA-A"
0,1.04027868174925,0.268,0.136,0,"1","BTN3A1"
0,0.517185625403592,0.902,0.772,0,"1","HLA-E"
0,0.570051501917872,0.984,0.936,0,"1","HLA-B"
0,0.540328967079638,0.988,0.949,0,"1","B2M"
0,0.370817625113852,0.993,0.96,0,"1","MALAT1"
1.61164213673415e-319,0.950687981464894,0.285,0.151,4.10581950754391e-315,"1","LITAF"
1.5625954324619e-312,0.93728426949849,0.274,0.143,3.98086812373994e-308,"1","TRAC"
2.45612837233468e-299,0.966026767559176,0.254,0.13,6.25723264135984e-295,"1","LCK"
6.17459087465154e-294,0.766699322999631,0.393,0.245,1.57303877122623e-289,"1","UTRN"
1.10995556924151e-289,0.96761464387334,0.254,0.132,2.82772280819968e-285,"1","MBP"
1.38929136086424e-272,0.891570420577133,0.291,0.165,3.53935867093774e-268,"1","AKNA"
6.46183186246364e-266,0.801033941521909,0.362,0.225,1.64621628528124e-261,"1","ZFP36L2"
7.11967839446411e-259,0.800364279232585,0.328,0.197,1.81380926777368e-254,"1","CYFIP2"
5.6733841367667e-251,0.71186141606953,0.381,0.245,1.44535134268269e-246,"1","DIAPH1"
1.02100614271875e-243,0.702614065847602,0.335,0.203,2.60111524919029e-239,"1","EFHD2"
3.07375754823929e-241,0.868810669356919,0.269,0.153,7.83070472989443e-237,"1","CCDC88C"
7.85088906375157e-236,0.8744979645412,0.254,0.142,2.00009249788135e-231,"1","MLLT6"
3.65201666551566e-235,0.625193869222907,0.46,0.322,9.30387765706769e-231,"1","PTP4A2"
9.92890959875648e-234,0.896509194732575,0.25,0.14,2.5294890093792e-229,"1","ITGB1"
4.67433321471419e-223,0.853306985836259,0.275,0.162,1.19083312978059e-218,"1","PIK3R1"
2.38082077558626e-215,0.665105586831425,0.367,0.241,6.06537900788355e-211,"1","KIAA1551"
5.4035586092065e-214,0.729626861413254,0.313,0.195,1.37661059128145e-209,"1","STK10"
1.29941652256939e-203,0.657992784017217,0.274,0.161,3.31039353289778e-199,"1","CD247"
5.87547584796233e-202,0.693694822250927,0.313,0.197,1.49683622702688e-197,"1","SPOCK2"
8.5051841180993e-198,0.383027412029241,0.53,0.376,2.16678070592698e-193,"1","ETS1"
1.31105109027197e-177,0.632559857136245,0.345,0.232,3.34003375757686e-173,"1","HLA-F"
1.36715127382732e-175,0.706709477642844,0.286,0.182,3.48295458520248e-171,"1","APOL6"
1.15085957894674e-174,0.695419629784864,0.285,0.182,2.93192986332471e-170,"1","CDC42SE2"
1.25960255071612e-171,0.728410315022639,0.267,0.168,3.2089634582044e-167,"1","SEPT7"
1.52855513604822e-171,0.667765599221867,0.307,0.201,3.89414706459644e-167,"1","RBL2"
4.5276198425994e-156,0.68826949627961,0.272,0.176,1.15345643110062e-151,"1","CAPN2"
1.43247435553642e-155,0.372411849468147,0.623,0.51,3.64937166816457e-151,"1","DDX5"
5.74095341908447e-152,0.651394155890329,0.278,0.181,1.46256529304596e-147,"1","WIPF1"
3.78759531709263e-149,0.681437925748134,0.263,0.17,9.6492778298252e-145,"1","ANXA6"
5.57288228355637e-149,0.681806131933918,0.255,0.163,1.41974749055882e-144,"1","IQGAP2"
1.55068175517123e-145,0.618161755691113,0.295,0.198,3.95051683947422e-141,"1","KMT2A"
2.11019735442268e-143,0.39338132683277,0.59,0.483,5.37593878012721e-139,"1","MYH9"
1.40579397384117e-130,0.534393636630136,0.322,0.225,3.58140072775777e-126,"1","BIN2"
1.55300649021588e-128,0.279984049744951,0.674,0.553,3.95643933447398e-124,"1","LCP1"
2.07459857153531e-116,0.378938641870645,0.42,0.317,5.28524732084336e-112,"1","JAK1"
5.77237241871145e-115,0.394438109020572,0.466,0.363,1.47056959739093e-110,"1","MSN"
4.60847548107752e-114,0.512011398587517,0.322,0.232,1.17405521355931e-109,"1","IKZF1"
5.05920935557478e-112,0.436504798204699,0.397,0.301,1.28888417542623e-107,"1","MBNL1"
4.04426324494002e-111,0.536473514811955,0.293,0.207,1.03031650428092e-106,"1","CYTH1"
1.35122034885392e-109,0.521087359530796,0.306,0.219,3.44236896074024e-105,"1","CD52"
7.54992350878717e-109,0.38465497179925,0.484,0.387,1.92341851309862e-104,"1","HSP90AA1"
9.0052586053163e-109,0.575451909022887,0.267,0.185,2.29417968229038e-104,"1","WNK1"
5.51843787971149e-108,0.518320737857442,0.311,0.224,1.4058772342353e-103,"1","FNBP1"
1.39317747056286e-101,0.508607474403196,0.299,0.216,3.54925892400595e-97,"1","EZR"
4.22945978239701e-100,0.466629172643597,0.305,0.22,1.07749717416346e-95,"1","SLC38A1"
1.33912624397188e-98,0.505763891715883,0.288,0.206,3.41155801914276e-94,"1","KMT2E"
1.87622154276827e-98,0.46088037880437,0.363,0.277,4.77986200235643e-94,"1","AKAP13"
3.62995255791749e-97,0.25676843469724,0.855,0.82,9.2476671365506e-93,"1","MT-CO1"
4.7830380320529e-97,0.430537447715906,0.328,0.241,1.2185267690458e-92,"1","ATM"
4.65129234808911e-89,0.453684013384337,0.273,0.196,1.18496323859918e-84,"1","EVL"
2.41498849404708e-85,0.435154161941156,0.343,0.263,6.15242468743434e-81,"1","ARHGAP30"
3.46646379017069e-81,0.400108898627484,0.374,0.294,8.83116315183884e-77,"1","SON"
3.85595290607813e-80,0.45019429577324,0.299,0.225,9.82342562352464e-76,"1","MYL12A"
5.92971743206783e-79,0.492269210245215,0.262,0.192,1.5106548129936e-74,"1","PFN1"
3.58452584188984e-75,0.370953076764112,0.292,0.218,9.13193803479856e-71,"1","CHD3"
